GeoFips,GeoName,deno code,2018 employment by industry,2018 robot data,industry_ifr19,2010 employment by industry,2010employment by state
8000,Colorado,117,27378,32,textiles,351605.6418,3158335.088
8000,Colorado,118,8825,33,utilities,797323.46,3158335.088
8000,Colorado,119,270712,188,vehicles_other,610364.6973,3158335.088
9000,Connecticut,101,16897,23,agriculture,1080677.841,2226662.431
9000,Connecticut,102,23978,37905,automotive,566138.6104,2226662.431
9000,Connecticut,103,244397,125,construction,5359624.691,2226662.431
9000,Connecticut,104,92782,11234,electronics,1495060.882,2226662.431
9000,Connecticut,105,344887,2753,food,1483030.717,2226662.431
9000,Connecticut,106,7077,55,furniture,710651.4812,2226662.431
9000,Connecticut,107,356606,38737,manufacturing_other,245234.5955,2226662.431
9000,Connecticut,108,3992,6606,metal_basic,643096.4444,2226662.431
9000,Connecticut,109,13920,363,metal_machinery,1140434.235,2226662.431
9000,Connecticut,110,30701,1177,metal_products,781591.6691,2226662.431
9000,Connecticut,111,6852,399,mineral,346305.5571,2226662.431
9000,Connecticut,113,21348,52,paper,1453345.662,2226662.431
9000,Connecticut,114,23356,4011,petrochemicals,1451592.993,2226662.431
9000,Connecticut,116,10376847,174,services,86920501.63,2226662.431
9000,Connecticut,117,20495,32,textiles,351605.6418,2226662.431
9000,Connecticut,118,5745,33,utilities,797323.46,2226662.431
9000,Connecticut,119,175012,188,vehicles_other,610364.6973,2226662.431
10000,Delaware,101,6307,23,agriculture,1080677.841,504638.908
10000,Delaware,102,7684,37905,automotive,566138.6104,504638.908
10000,Delaware,103,69773,125,construction,5359624.691,504638.908
10000,Delaware,104,15889,11234,electronics,1495060.882,504638.908
10000,Delaware,105,112109,2753,food,1483030.717,504638.908
10000,Delaware,106,3071,55,furniture,710651.4812,504638.908
10000,Delaware,107,60955,38737,manufacturing_other,245234.5955,504638.908
10000,Delaware,109,828,363,metal_machinery,1140434.235,504638.908
10000,Delaware,110,1754,1177,metal_products,781591.6691,504638.908
10000,Delaware,111,865,399,mineral,346305.5571,504638.908
10000,Delaware,113,2219,52,paper,1453345.662,504638.908
10000,Delaware,114,7166,4011,petrochemicals,1451592.993,504638.908
10000,Delaware,116,2690723,174,services,86920501.63,504638.908
10000,Delaware,117,6470,32,textiles,351605.6418,504638.908
10000,Delaware,118,2219,33,utilities,797323.46,504638.908
10000,Delaware,119,37064,188,vehicles_other,610364.6973,504638.908
11000,District of Columbia,101,86,23,agriculture,1080677.841,364644.138
11000,District of Columbia,102,222,37905,automotive,566138.6104,364644.138
11000,District of Columbia,103,38416,125,construction,5359624.691,364644.138
11000,District of Columbia,104,37323,11234,electronics,1495060.882,364644.138
11000,District of Columbia,105,157280,2753,food,1483030.717,364644.138
11000,District of Columbia,106,791,55,furniture,710651.4812,364644.138
11000,District of Columbia,107,4514,38737,manufacturing_other,245234.5955,364644.138
11000,District of Columbia,110,82,1177,metal_products,781591.6691,364644.138
11000,District of Columbia,111,643,399,mineral,346305.5571,364644.138
11000,District of Columbia,113,7162,52,paper,1453345.662,364644.138
11000,District of Columbia,114,3197,4011,petrochemicals,1451592.993,364644.138
11000,District of Columbia,116,3978951,174,services,86920501.63,364644.138
11000,District of Columbia,117,3409,32,textiles,351605.6418,364644.138
11000,District of Columbia,118,2204,33,utilities,797323.46,364644.138
11000,District of Columbia,119,28441,188,vehicles_other,610364.6973,364644.138
12000,Florida,101,180178,23,agriculture,1080677.841,10415925.74
12000,Florida,102,174877,37905,automotive,566138.6104,10415925.74
12000,Florida,103,1641191,125,construction,5359624.691,10415925.74
12000,Florida,104,424377,11234,electronics,1495060.882,10415925.74
12000,Florida,105,2441297,2753,food,1483030.717,10415925.74
12000,Florida,106,59089,55,furniture,710651.4812,10415925.74
12000,Florida,107,895799,38737,manufacturing_other,245234.5955,10415925.74
12000,Florida,108,5441,6606,metal_basic,643096.4444,10415925.74
12000,Florida,109,33132,363,metal_machinery,1140434.235,10415925.74
12000,Florida,110,43205,1177,metal_products,781591.6691,10415925.74
12000,Florida,111,59804,399,mineral,346305.5571,10415925.74
12000,Florida,113,85420,52,paper,1453345.662,10415925.74
12000,Florida,114,120950,4011,petrochemicals,1451592.993,10415925.74
12000,Florida,116,56970679,174,services,86920501.63,10415925.74
12000,Florida,117,139697,32,textiles,351605.6418,10415925.74
12000,Florida,118,25772,33,utilities,797323.46,10415925.74
12000,Florida,119,1051108,188,vehicles_other,610364.6973,10415925.74
13000,Georgia,101,112942,23,agriculture,1080677.841,5521962.21
13000,Georgia,102,103873,37905,automotive,566138.6104,5521962.21
13000,Georgia,103,730115,125,construction,5359624.691,5521962.21
13000,Georgia,104,290232,11234,electronics,1495060.882,5521962.21
13000,Georgia,105,1133733,2753,food,1483030.717,5521962.21
13000,Georgia,106,32593,55,furniture,710651.4812,5521962.21
13000,Georgia,107,909374,38737,manufacturing_other,245234.5955,5521962.21
13000,Georgia,108,8091,6606,metal_basic,643096.4444,5521962.21
13000,Georgia,109,23619,363,metal_machinery,1140434.235,5521962.21
13000,Georgia,110,32987,1177,metal_products,781591.6691,5521962.21
13000,Georgia,111,34835,399,mineral,346305.5571,5521962.21
13000,Georgia,113,85603,52,paper,1453345.662,5521962.21
13000,Georgia,114,65574,4011,petrochemicals,1451592.993,5521962.21
13000,Georgia,116,27804355,174,services,86920501.63,5521962.21
13000,Georgia,117,105245,32,textiles,351605.6418,5521962.21
13000,Georgia,118,20296,33,utilities,797323.46,5521962.21
13000,Georgia,119,651628,188,vehicles_other,610364.6973,5521962.21
15000,Hawaii,101,22406,23,agriculture,1080677.841,816180.6
15000,Hawaii,102,7439,37905,automotive,566138.6104,816180.6
15000,Hawaii,103,101424,125,construction,5359624.691,816180.6
15000,Hawaii,104,21929,11234,electronics,1495060.882,816180.6
15000,Hawaii,105,260291,2753,food,1483030.717,816180.6
15000,Hawaii,106,2264,55,furniture,710651.4812,816180.6
15000,Hawaii,107,39834,38737,manufacturing_other,245234.5955,816180.6
15000,Hawaii,110,448,1177,metal_products,781591.6691,816180.6
15000,Hawaii,111,2117,399,mineral,346305.5571,816180.6
15000,Hawaii,113,3433,52,paper,1453345.662,816180.6
15000,Hawaii,114,7014,4011,petrochemicals,1451592.993,816180.6
15000,Hawaii,116,4039038,174,services,86920501.63,816180.6
15000,Hawaii,117,14165,32,textiles,351605.6418,816180.6
15000,Hawaii,118,4201,33,utilities,797323.46,816180.6
15000,Hawaii,119,73637,188,vehicles_other,610364.6973,816180.6
16000,Idaho,101,77726,23,agriculture,1080677.841,940549.2
16000,Idaho,102,15275,37905,automotive,566138.6104,940549.2
16000,Idaho,103,154863,125,construction,5359624.691,940549.2
16000,Idaho,104,37524,11234,electronics,1495060.882,940549.2
16000,Idaho,105,182019,2753,food,1483030.717,940549.2
16000,Idaho,106,4886,55,furniture,710651.4812,940549.2
16000,Idaho,107,155056,38737,manufacturing_other,245234.5955,940549.2
