GeoFips,GeoName,deno code,2015employment by industry,2015 robot data,industry_ifr19,2010 employment by industry,2010employment
8000,Colorado,117,27166,36,textiles,351605.6418,3158335.088
8000,Colorado,118,9093,0,utilities,797323.46,3158335.088
8000,Colorado,119,198084,128,vehicles_other,610364.6973,3158335.088
9000,Connecticut,101,18139,18,agriculture,1080677.841,2226662.431
9000,Connecticut,102,23155,28955,automotive,566138.6104,2226662.431
9000,Connecticut,103,239055,12,construction,5359624.691,2226662.431
9000,Connecticut,104,95466,12487,electronics,1495060.882,2226662.431
9000,Connecticut,105,334639,1094,food,1483030.717,2226662.431
9000,Connecticut,106,10002,34,furniture,710651.4812,2226662.431
9000,Connecticut,107,352975,29645,manufacturing_other,245234.5955,2226662.431
9000,Connecticut,108,3807,5107,metal_basic,643096.4444,2226662.431
9000,Connecticut,109,14936,333,metal_machinery,1140434.235,2226662.431
9000,Connecticut,110,30456,634,metal_products,781591.6691,2226662.431
9000,Connecticut,111,9987,268,mineral,346305.5571,2226662.431
9000,Connecticut,113,19698,66,paper,1453345.662,2226662.431
9000,Connecticut,114,24929,2425,petrochemicals,1451592.993,2226662.431
9000,Connecticut,116,10325732,133,services,86920501.63,2226662.431
9000,Connecticut,117,22301,36,textiles,351605.6418,2226662.431
9000,Connecticut,118,6282,0,utilities,797323.46,2226662.431
9000,Connecticut,119,141250,128,vehicles_other,610364.6973,2226662.431
10000,Delaware,101,6613,18,agriculture,1080677.841,504638.908
10000,Delaware,102,7533,28955,automotive,566138.6104,504638.908
10000,Delaware,103,64666,12,construction,5359624.691,504638.908
10000,Delaware,104,17093,12487,electronics,1495060.882,504638.908
10000,Delaware,105,102276,1094,food,1483030.717,504638.908
10000,Delaware,106,2942,34,furniture,710651.4812,504638.908
10000,Delaware,107,60738,29645,manufacturing_other,245234.5955,504638.908
10000,Delaware,109,782,333,metal_machinery,1140434.235,504638.908
10000,Delaware,110,1655,634,metal_products,781591.6691,504638.908
10000,Delaware,111,1116,268,mineral,346305.5571,504638.908
10000,Delaware,113,3185,66,paper,1453345.662,504638.908
10000,Delaware,114,8060,2425,petrochemicals,1451592.993,504638.908
10000,Delaware,116,2559123,133,services,86920501.63,504638.908
10000,Delaware,117,6306,36,textiles,351605.6418,504638.908
10000,Delaware,118,2249,0,utilities,797323.46,504638.908
10000,Delaware,119,33275,128,vehicles_other,610364.6973,504638.908
11000,District of Columbia,101,70,18,agriculture,1080677.841,364644.138
11000,District of Columbia,102,238,28955,automotive,566138.6104,364644.138
11000,District of Columbia,103,36093,12,construction,5359624.691,364644.138
11000,District of Columbia,104,33877,12487,electronics,1495060.882,364644.138
11000,District of Columbia,105,145563,1094,food,1483030.717,364644.138
11000,District of Columbia,106,892,34,furniture,710651.4812,364644.138
11000,District of Columbia,107,3685,29645,manufacturing_other,245234.5955,364644.138
11000,District of Columbia,108,16,5107,metal_basic,643096.4444,364644.138
11000,District of Columbia,110,69,634,metal_products,781591.6691,364644.138
11000,District of Columbia,111,1113,268,mineral,346305.5571,364644.138
11000,District of Columbia,113,6280,66,paper,1453345.662,364644.138
11000,District of Columbia,114,3027,2425,petrochemicals,1451592.993,364644.138
11000,District of Columbia,116,3789383,133,services,86920501.63,364644.138
11000,District of Columbia,117,3669,36,textiles,351605.6418,364644.138
11000,District of Columbia,118,2150,0,utilities,797323.46,364644.138
11000,District of Columbia,119,20658,128,vehicles_other,610364.6973,364644.138
12000,Florida,101,181671,18,agriculture,1080677.841,10415925.74
12000,Florida,102,158203,28955,automotive,566138.6104,10415925.74
12000,Florida,103,1305368,12,construction,5359624.691,10415925.74
12000,Florida,104,406648,12487,electronics,1495060.882,10415925.74
12000,Florida,105,2230179,1094,food,1483030.717,10415925.74
12000,Florida,106,54807,34,furniture,710651.4812,10415925.74
12000,Florida,107,821113,29645,manufacturing_other,245234.5955,10415925.74
12000,Florida,108,4629,5107,metal_basic,643096.4444,10415925.74
12000,Florida,109,29348,333,metal_machinery,1140434.235,10415925.74
12000,Florida,110,38318,634,metal_products,781591.6691,10415925.74
12000,Florida,111,75887,268,mineral,346305.5571,10415925.74
12000,Florida,113,83623,66,paper,1453345.662,10415925.74
12000,Florida,114,114530,2425,petrochemicals,1451592.993,10415925.74
12000,Florida,116,51539539,133,services,86920501.63,10415925.74
12000,Florida,117,141411,36,textiles,351605.6418,10415925.74
12000,Florida,118,25113,0,utilities,797323.46,10415925.74
12000,Florida,119,768087,128,vehicles_other,610364.6973,10415925.74
13000,Georgia,101,113009,18,agriculture,1080677.841,5521962.21
13000,Georgia,102,93866,28955,automotive,566138.6104,5521962.21
13000,Georgia,103,624978,12,construction,5359624.691,5521962.21
13000,Georgia,104,269076,12487,electronics,1495060.882,5521962.21
13000,Georgia,105,1041400,1094,food,1483030.717,5521962.21
13000,Georgia,106,30469,34,furniture,710651.4812,5521962.21
13000,Georgia,107,838571,29645,manufacturing_other,245234.5955,5521962.21
13000,Georgia,108,7284,5107,metal_basic,643096.4444,5521962.21
13000,Georgia,109,22654,333,metal_machinery,1140434.235,5521962.21
13000,Georgia,110,29358,634,metal_products,781591.6691,5521962.21
13000,Georgia,111,37453,268,mineral,346305.5571,5521962.21
13000,Georgia,113,80775,66,paper,1453345.662,5521962.21
13000,Georgia,114,60456,2425,petrochemicals,1451592.993,5521962.21
13000,Georgia,116,25825525,133,services,86920501.63,5521962.21
13000,Georgia,117,103988,36,textiles,351605.6418,5521962.21
13000,Georgia,118,21395,0,utilities,797323.46,5521962.21
13000,Georgia,119,472841,128,vehicles_other,610364.6973,5521962.21
15000,Hawaii,101,20896,18,agriculture,1080677.841,816180.6
15000,Hawaii,102,7185,28955,automotive,566138.6104,816180.6
15000,Hawaii,103,97350,12,construction,5359624.691,816180.6
15000,Hawaii,104,21245,12487,electronics,1495060.882,816180.6
15000,Hawaii,105,241091,1094,food,1483030.717,816180.6
15000,Hawaii,106,2213,34,furniture,710651.4812,816180.6
15000,Hawaii,107,39669,29645,manufacturing_other,245234.5955,816180.6
15000,Hawaii,110,469,634,metal_products,781591.6691,816180.6
15000,Hawaii,111,2534,268,mineral,346305.5571,816180.6
