GeoFips,GeoName,deno code,2017 employment by industry,2017 robot data,industry_ifr19,2010 employment by industry,2010employment by state
8000,Colorado,117,27631,0,textiles,351605.6418,3158335.088
8000,Colorado,118,8859,29,utilities,797323.46,3158335.088
8000,Colorado,119,247366,84,vehicles_other,610364.6973,3158335.088
9000,Connecticut,101,17053,0,agriculture,1080677.841,2226662.431
9000,Connecticut,102,23590,36573,automotive,566138.6104,2226662.431
9000,Connecticut,103,242600,9,construction,5359624.691,2226662.431
9000,Connecticut,104,92691,13696,electronics,1495060.882,2226662.431
9000,Connecticut,105,345002,1598,food,1483030.717,2226662.431
9000,Connecticut,106,10060,61,furniture,710651.4812,2226662.431
9000,Connecticut,107,353805,34863,manufacturing_other,245234.5955,2226662.431
9000,Connecticut,109,14351,234,metal_machinery,1140434.235,2226662.431
9000,Connecticut,110,30464,967,metal_products,781591.6691,2226662.431
9000,Connecticut,111,8245,296,mineral,346305.5571,2226662.431
9000,Connecticut,113,21851,49,paper,1453345.662,2226662.431
9000,Connecticut,114,23641,2972,petrochemicals,1451592.993,2226662.431
9000,Connecticut,116,10310591,93,services,86920501.63,2226662.431
9000,Connecticut,117,21652,0,textiles,351605.6418,2226662.431
9000,Connecticut,118,5891,29,utilities,797323.46,2226662.431
9000,Connecticut,119,162934,84,vehicles_other,610364.6973,2226662.431
10000,Delaware,101,6569,0,agriculture,1080677.841,504638.908
10000,Delaware,102,7881,36573,automotive,566138.6104,504638.908
10000,Delaware,103,67758,9,construction,5359624.691,504638.908
10000,Delaware,104,16861,13696,electronics,1495060.882,504638.908
10000,Delaware,105,106891,1598,food,1483030.717,504638.908
10000,Delaware,106,3034,61,furniture,710651.4812,504638.908
10000,Delaware,107,58400,34863,manufacturing_other,245234.5955,504638.908
10000,Delaware,108,199,5939,metal_basic,643096.4444,504638.908
10000,Delaware,109,805,234,metal_machinery,1140434.235,504638.908
10000,Delaware,110,1691,967,metal_products,781591.6691,504638.908
10000,Delaware,111,893,296,mineral,346305.5571,504638.908
10000,Delaware,113,3237,49,paper,1453345.662,504638.908
10000,Delaware,114,6955,2972,petrochemicals,1451592.993,504638.908
10000,Delaware,116,2634438,93,services,86920501.63,504638.908
10000,Delaware,117,6714,0,textiles,351605.6418,504638.908
10000,Delaware,118,2292,29,utilities,797323.46,504638.908
10000,Delaware,119,34907,84,vehicles_other,610364.6973,504638.908
11000,District of Columbia,101,81,0,agriculture,1080677.841,364644.138
11000,District of Columbia,102,211,36573,automotive,566138.6104,364644.138
11000,District of Columbia,103,16239,9,construction,5359624.691,364644.138
11000,District of Columbia,104,35059,13696,electronics,1495060.882,364644.138
11000,District of Columbia,105,152629,1598,food,1483030.717,364644.138
11000,District of Columbia,106,796,61,furniture,710651.4812,364644.138
11000,District of Columbia,107,112,34863,manufacturing_other,245234.5955,364644.138
11000,District of Columbia,110,61,967,metal_products,781591.6691,364644.138
11000,District of Columbia,111,864,296,mineral,346305.5571,364644.138
11000,District of Columbia,113,6854,49,paper,1453345.662,364644.138
11000,District of Columbia,114,3141,2972,petrochemicals,1451592.993,364644.138
11000,District of Columbia,116,3921477,93,services,86920501.63,364644.138
11000,District of Columbia,117,3515,0,textiles,351605.6418,364644.138
11000,District of Columbia,118,2164,29,utilities,797323.46,364644.138
11000,District of Columbia,119,26769,84,vehicles_other,610364.6973,364644.138
12000,Florida,101,180134,0,agriculture,1080677.841,10415925.74
12000,Florida,102,170159,36573,automotive,566138.6104,10415925.74
12000,Florida,103,1517782,9,construction,5359624.691,10415925.74
12000,Florida,104,419768,13696,electronics,1495060.882,10415925.74
