Name,Year,Value
Finland,2014,286
Finland,2015,333
Finland,2016,699
Finland,2017,476
Finland,2018,532
Norway,2011,70
Norway,2012,91
Norway,2013,84
Norway,2014,83
Norway,2015,108
Norway,2016,166
Norway,2017,192
Norway,2018,150
Turkish,2011,864
Turkish,2012,995
Turkish,2013,1136
Turkish,2014,1246
Turkish,2015,1705
Turkish,2016,1840
Turkish,2017,2050
Turkish,2018,2267
