Career Pathway,Code,Occupation
Manufacturing Production Process Development,17-3027.00,Mechanical Engineering Technologists and Technicians
Manufacturing Production Process Development,17-3026.01,Nanotechnology Engineering Technologists and Technicians
Manufacturing Production Process Development,17-3029.01,Non-Destructive Testing Specialists
Manufacturing Production Process Development,19-4051.02,Nuclear Monitoring Technicians
Manufacturing Production Process Development,19-4051.00,Nuclear Technicians
Manufacturing Production Process Development,17-3029.08,Photonics Technicians
Manufacturing Production Process Development,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
Manufacturing Production Process Development,17-3024.01,Robotics Technicians
Production,51-9191.00,Adhesive Bonding Machine Operators and Tenders
Production,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
Production,51-2099.00,"Assemblers and Fabricators, All Other"
Production,51-8099.01,Biofuels Processing Technicians
Production,51-8013.03,Biomass Plant Technicians
Production,51-3021.00,Butchers and Meat Cutters
Production,51-7011.00,Cabinetmakers and Bench Carpenters
Production,51-9011.00,Chemical Equipment Operators and Tenders
Production,51-8091.00,Chemical Plant and System Operators
Production,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
Production,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
Production,51-2021.00,"Coil Winders, Tapers, and Finishers"
Production,51-9161.00,Computer Numerically Controlled Tool Operators
Production,51-9162.00,Computer Numerically Controlled Tool Programmers
Production,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Production,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
Production,51-9031.00,"Cutters and Trimmers, Hand"
Production,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Production,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-9081.00,Dental Laboratory Technicians
Production,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production,51-2022.00,Electrical and Electronic Equipment Assemblers
Production,51-2023.00,Electromechanical Equipment Assemblers
Production,51-2031.00,Engine and Other Machine Assemblers
Production,51-9194.00,Etchers and Engravers
Production,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Production,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
Production,51-6092.00,Fabric and Apparel Patternmakers
Production,51-2051.00,Fiberglass Laminators and Fabricators
Production,51-1011.00,First-Line Supervisors of Production and Operating Workers
Production,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Production,51-3092.00,Food Batchmakers
Production,51-3093.00,Food Cooking Machine Operators and Tenders
Production,51-3099.00,"Food Processing Workers, All Other"
Production,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-4071.00,Foundry Mold and Coremakers
Production,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
Production,51-7021.00,Furniture Finishers
Production,51-8092.00,Gas Plant Operators
Production,51-9071.06,Gem and Diamond Workers
Production,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
Production,51-9022.00,"Grinding and Polishing Workers, Hand"
Production,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Production,51-9198.00,Helpers--Production Workers
Production,51-8013.04,Hydroelectric Plant Technicians
Production,51-9071.00,Jewelers and Precious Stone and Metal Workers
Production,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production,51-4192.00,"Layout Workers, Metal and Plastic"
Production,53-7063.00,Machine Feeders and Offbearers
Production,51-4041.00,Machinists
Production,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
Production,51-4199.00,"Metal Workers and Plastic Workers, All Other"
Production,51-4051.00,Metal-Refining Furnace Operators and Tenders
Production,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
Production,51-4061.00,"Model Makers, Metal and Plastic"
Production,51-7031.00,"Model Makers, Wood"
Production,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
Production,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production,51-8011.00,Nuclear Power Reactor Operators
Production,51-9083.00,Ophthalmic Laboratory Technicians
Production,51-9111.00,Packaging and Filling Machine Operators and Tenders
Production,51-9123.00,"Painting, Coating, and Decorating Workers"
Production,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Production,51-4062.00,"Patternmakers, Metal and Plastic"
Production,51-7032.00,"Patternmakers, Wood"
Production,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
Production,51-9151.00,Photographic Process Workers and Processing Machine Operators
Production,51-8099.00,"Plant and System Operators, All Other"
Production,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-9195.05,"Potters, Manufacturing"
Production,51-4052.00,"Pourers and Casters, Metal"
Production,51-8012.00,Power Distributors and Dispatchers
Production,51-8013.00,Power Plant Operators
Production,51-9199.00,"Production Workers, All Other"
Production,53-7062.04,Recycling and Reclamation Workers
Production,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
Production,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Production,51-9141.00,Semiconductor Processing Technicians
Production,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Production,51-6051.00,"Sewers, Hand"
Production,51-6031.00,Sewing Machine Operators
Production,51-6041.00,Shoe and Leather Workers and Repairers
Production,51-6042.00,Shoe Machine Operators and Tenders
Production,51-3023.00,Slaughterers and Meat Packers
Production,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
Production,51-2092.00,Team Assemblers
Production,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Production,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Production,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
Production,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
Production,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
Production,51-2061.00,Timing Device Assemblers and Adjusters
Production,51-9197.00,Tire Builders
Production,51-4111.00,Tool and Die Makers
Production,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
Production,51-6093.00,Upholsterers
Production,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
Production,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Production,51-7099.00,"Woodworkers, All Other"
Production,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Quality Assurance,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Quality Assurance,43-5061.00,"Production, Planning, and Expediting Clerks"
Quality Assurance,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
