,Importance,Level,Job Zone,Code,Occupation
410,0,Not relevant,5,25-1122.00,"Communications Teachers, Postsecondary"
411,0,Not relevant,4,21-1094.00,Community Health Workers
412,0,Not relevant,4,11-3111.00,Compensation and Benefits Managers
413,0,Not relevant,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
414,0,Not relevant,4,11-9199.02,Compliance Managers
415,0,Not relevant,3,13-1041.00,Compliance Officers
416,0,Not relevant,5,15-1221.00,Computer and Information Research Scientists
417,0,Not relevant,4,11-3021.00,Computer and Information Systems Managers
418,0,Not relevant,4,17-2061.00,Computer Hardware Engineers
419,0,Not relevant,4,15-1241.00,Computer Network Architects
420,0,Not relevant,4,15-1231.00,Computer Network Support Specialists
421,0,Not relevant,3,51-9162.00,Computer Numerically Controlled Tool Programmers
422,0,Not relevant,4,15-1251.00,Computer Programmers
423,0,Not relevant,5,25-1021.00,"Computer Science Teachers, Postsecondary"
424,0,Not relevant,3,15-1211.00,Computer Systems Analysts
425,0,Not relevant,4,15-1299.08,Computer Systems Engineers/Architects
426,0,Not relevant,3,15-1232.00,Computer User Support Specialists
427,0,Not relevant,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
428,0,Not relevant,3,39-6012.00,Concierges
429,0,Not relevant,3,47-4011.00,Construction and Building Inspectors
430,0,Not relevant,4,11-9021.00,Construction Managers
431,0,Not relevant,1,35-2011.00,"Cooks, Fast Food"
432,0,Not relevant,2,35-2015.00,"Cooks, Short Order"
433,0,Not relevant,3,13-1041.06,Coroners
434,0,Not relevant,2,43-4021.00,Correspondence Clerks
435,0,Not relevant,4,13-1051.00,Cost Estimators
436,0,Not relevant,2,39-3092.00,Costume Attendants
437,0,Not relevant,2,41-2021.00,Counter and Rental Clerks
438,0,Not relevant,3,27-3092.00,Court Reporters and Simultaneous Captioners
439,0,Not relevant,2,43-4031.00,"Court, Municipal, and License Clerks"
440,0,Not relevant,3,53-7021.00,Crane and Tower Operators
441,0,Not relevant,4,13-2041.00,Credit Analysts
442,0,Not relevant,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
443,0,Not relevant,4,13-2071.00,Credit Counselors
444,0,Not relevant,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
445,0,Not relevant,4,29-1141.03,Critical Care Nurses
446,0,Not relevant,5,25-4012.00,Curators
447,0,Not relevant,2,43-4051.00,Customer Service Representatives
448,0,Not relevant,3,33-3051.04,Customs and Border Protection Officers
449,0,Not relevant,3,13-1041.08,Customs Brokers
450,0,Not relevant,4,29-2011.01,Cytogenetic Technologists
451,0,Not relevant,5,29-2011.02,Cytotechnologists
452,0,Not relevant,2,43-9021.00,Data Entry Keyers
453,0,Not relevant,4,15-1243.01,Data Warehousing Specialists
454,0,Not relevant,4,15-1242.00,Database Administrators
455,0,Not relevant,4,15-1243.00,Database Architects
456,0,Not relevant,2,41-9011.00,Demonstrators and Product Promoters
457,0,Not relevant,3,29-1292.00,Dental Hygienists
458,0,Not relevant,2,51-9081.00,Dental Laboratory Technicians
459,0,Not relevant,5,29-1213.00,Dermatologists
460,0,Not relevant,3,43-9031.00,Desktop Publishers
461,0,Not relevant,3,29-2032.00,Diagnostic Medical Sonographers
462,0,Not relevant,3,29-2051.00,Dietetic Technicians
463,0,Not relevant,5,29-1031.00,Dietitians and Nutritionists
464,0,Not relevant,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
465,0,Not relevant,4,15-1299.03,Document Management Specialists
466,0,Not relevant,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
467,0,Not relevant,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
468,0,Not relevant,2,53-3031.00,Driver/Sales Workers
469,0,Not relevant,5,25-1063.00,"Economics Teachers, Postsecondary"
470,0,Not relevant,5,19-3011.00,Economists
471,0,Not relevant,4,27-3041.00,Editors
472,0,Not relevant,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
473,0,Not relevant,5,11-9033.00,"Education Administrators, Postsecondary"
474,0,Not relevant,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
475,0,Not relevant,5,25-1081.00,"Education Teachers, Postsecondary"
476,0,Not relevant,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
477,0,Not relevant,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
478,0,Not relevant,2,51-2022.00,Electrical and Electronic Equipment Assemblers
479,0,Not relevant,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
480,0,Not relevant,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
481,0,Not relevant,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
482,0,Not relevant,4,17-2071.00,Electrical Engineers
483,0,Not relevant,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
484,0,Not relevant,2,51-2023.00,Electromechanical Equipment Assemblers
485,0,Not relevant,4,17-2072.00,"Electronics Engineers, Except Computer"
486,0,Not relevant,4,25-2021.00,"Elementary School Teachers, Except Special Education"
487,0,Not relevant,3,43-4061.00,"Eligibility Interviewers, Government Programs"
488,0,Not relevant,3,39-4011.00,Embalmers
489,0,Not relevant,4,11-9161.00,Emergency Management Directors
490,0,Not relevant,3,47-4011.01,Energy Auditors
491,0,Not relevant,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
492,0,Not relevant,5,25-1032.00,"Engineering Teachers, Postsecondary"
493,0,Not relevant,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
494,0,Not relevant,4,13-1041.01,Environmental Compliance Inspectors
495,0,Not relevant,5,19-3011.01,Environmental Economists
496,0,Not relevant,4,17-3025.00,Environmental Engineering Technologists and Technicians
497,0,Not relevant,4,17-2081.00,Environmental Engineers
498,0,Not relevant,5,19-2041.02,Environmental Restoration Planners
499,0,Not relevant,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
500,0,Not relevant,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
501,0,Not relevant,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
502,0,Not relevant,5,19-1041.00,Epidemiologists
503,0,Not relevant,4,13-1041.03,Equal Opportunity Representatives and Officers
504,0,Not relevant,2,51-9194.00,Etchers and Engravers
505,0,Not relevant,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
506,0,Not relevant,3,51-6092.00,Fabric and Apparel Patternmakers
507,0,Not relevant,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
508,0,Not relevant,5,29-1215.00,Family Medicine Physicians
509,0,Not relevant,2,13-1074.00,Farm Labor Contractors
510,0,Not relevant,1,35-3023.00,Fast Food and Counter Workers
511,0,Not relevant,2,43-4071.00,File Clerks
512,0,Not relevant,4,27-4032.00,Film and Video Editors
513,0,Not relevant,4,13-2061.00,Financial Examiners
514,0,Not relevant,4,11-3031.00,Financial Managers
515,0,Not relevant,5,13-2099.01,Financial Quantitative Analysts
516,0,Not relevant,4,17-2111.02,Fire-Prevention and Protection Engineers
517,0,Not relevant,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
518,0,Not relevant,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
519,0,Not relevant,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
520,0,Not relevant,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
521,0,Not relevant,3,39-1022.00,First-Line Supervisors of Personal Service Workers
522,0,Not relevant,3,33-1012.00,First-Line Supervisors of Police and Detectives
523,0,Not relevant,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
524,0,Not relevant,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
525,0,Not relevant,4,33-3031.00,Fish and Game Wardens
526,0,Not relevant,2,53-2031.00,Flight Attendants
527,0,Not relevant,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
528,0,Not relevant,2,51-3092.00,Food Batchmakers
529,0,Not relevant,3,19-4013.00,Food Science Technicians
530,0,Not relevant,4,19-1012.00,Food Scientists and Technologists
531,0,Not relevant,2,35-3041.00,"Food Servers, Nonrestaurant"
532,0,Not relevant,2,11-9051.00,Food Service Managers
533,0,Not relevant,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
534,0,Not relevant,3,19-4092.00,Forensic Science Technicians
535,0,Not relevant,4,19-1032.00,Foresters
536,0,Not relevant,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
537,0,Not relevant,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
538,0,Not relevant,2,43-5011.01,Freight Forwarders
539,0,Not relevant,4,17-2141.01,Fuel Cell Engineers
540,0,Not relevant,4,13-1131.00,Fundraisers
541,0,Not relevant,2,39-4021.00,Funeral Attendants
542,0,Not relevant,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
543,0,Not relevant,2,43-3041.00,Gambling Cage Workers
544,0,Not relevant,2,11-9071.00,Gambling Managers
545,0,Not relevant,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
546,0,Not relevant,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
547,0,Not relevant,2,51-8092.00,Gas Plant Operators
548,0,Not relevant,3,51-9071.06,Gem and Diamond Workers
549,0,Not relevant,4,11-1021.00,General and Operations Managers
550,0,Not relevant,5,29-1216.00,General Internal Medicine Physicians
551,0,Not relevant,5,29-9092.00,Genetic Counselors
552,0,Not relevant,5,19-1029.03,Geneticists
553,0,Not relevant,4,17-1022.01,Geodetic Surveyors
554,0,Not relevant,4,19-3092.00,Geographers
555,0,Not relevant,4,15-1299.02,Geographic Information Systems Technologists and Technicians
556,0,Not relevant,5,25-1064.00,"Geography Teachers, Postsecondary"
557,0,Not relevant,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
558,0,Not relevant,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
559,0,Not relevant,3,13-1041.04,Government Property Inspectors and Investigators
560,0,Not relevant,4,27-1024.00,Graphic Designers
561,0,Not relevant,2,51-9022.00,"Grinding and Polishing Workers, Hand"
562,0,Not relevant,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
563,0,Not relevant,4,21-1091.00,Health Education Specialists
564,0,Not relevant,4,15-1211.01,Health Informatics Specialists
565,0,Not relevant,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
566,0,Not relevant,5,21-1022.00,Healthcare Social Workers
567,0,Not relevant,3,29-2092.00,Hearing Aid Specialists
568,0,Not relevant,2,47-4051.00,Highway Maintenance Workers
569,0,Not relevant,5,19-3093.00,Historians
570,0,Not relevant,5,25-1125.00,"History Teachers, Postsecondary"
571,0,Not relevant,2,31-1121.00,Home Health Aides
572,0,Not relevant,5,29-1229.02,Hospitalists
573,0,Not relevant,2,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
574,0,Not relevant,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
575,0,Not relevant,5,17-2112.01,Human Factors Engineers and Ergonomists
576,0,Not relevant,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
577,0,Not relevant,4,11-3121.00,Human Resources Managers
578,0,Not relevant,4,13-1071.00,Human Resources Specialists
579,0,Not relevant,3,11-3051.06,Hydroelectric Production Managers
580,0,Not relevant,5,19-2043.00,Hydrologists
581,0,Not relevant,5,19-2041.03,Industrial Ecologists
582,0,Not relevant,4,17-2112.00,Industrial Engineers
583,0,Not relevant,4,11-3051.00,Industrial Production Managers
584,0,Not relevant,5,19-3032.00,Industrial-Organizational Psychologists
585,0,Not relevant,4,15-1212.00,Information Security Analysts
586,0,Not relevant,4,15-1299.09,Information Technology Project Managers
587,0,Not relevant,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
588,0,Not relevant,5,25-9031.00,Instructional Coordinators
589,0,Not relevant,3,13-1032.00,"Insurance Appraisers, Auto Damage"
590,0,Not relevant,2,43-9041.00,Insurance Claims and Policy Processing Clerks
591,0,Not relevant,4,41-3021.00,Insurance Sales Agents
592,0,Not relevant,4,13-2053.00,Insurance Underwriters
593,0,Not relevant,4,33-3021.06,Intelligence Analysts
594,0,Not relevant,4,27-1025.00,Interior Designers
595,0,Not relevant,4,27-3091.00,Interpreters and Translators
596,0,Not relevant,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
597,0,Not relevant,5,11-3031.03,Investment Fund Managers
598,0,Not relevant,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
599,0,Not relevant,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
600,0,Not relevant,5,23-1012.00,Judicial Law Clerks
601,0,Not relevant,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
602,0,Not relevant,4,13-1075.00,Labor Relations Specialists
603,0,Not relevant,4,17-1012.00,Landscape Architects
604,0,Not relevant,5,25-1112.00,"Law Teachers, Postsecondary"
605,0,Not relevant,5,23-1011.00,Lawyers
606,0,Not relevant,3,43-6012.00,Legal Secretaries and Administrative Assistants
607,0,Not relevant,2,43-4121.00,"Library Assistants, Clerical"
608,0,Not relevant,5,25-1082.00,"Library Science Teachers, Postsecondary"
609,0,Not relevant,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
610,0,Not relevant,3,43-4131.00,Loan Interviewers and Clerks
611,0,Not relevant,4,13-2072.00,Loan Officers
612,0,Not relevant,2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
613,0,Not relevant,2,49-9094.00,Locksmiths and Safe Repairers
614,0,Not relevant,2,53-4011.00,Locomotive Engineers
615,0,Not relevant,4,11-9081.00,Lodging Managers
616,0,Not relevant,4,13-1081.00,Logisticians
617,0,Not relevant,4,13-1081.02,Logistics Analysts
618,0,Not relevant,4,13-1081.01,Logistics Engineers
619,0,Not relevant,4,11-9199.08,Loss Prevention Managers
620,0,Not relevant,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
621,0,Not relevant,3,29-2035.00,Magnetic Resonance Imaging Technologists
622,0,Not relevant,4,13-1111.00,Management Analysts
623,0,Not relevant,2,39-5092.00,Manicurists and Pedicurists
624,0,Not relevant,4,17-2112.03,Manufacturing Engineers
625,0,Not relevant,4,17-2121.00,Marine Engineers and Naval Architects
626,0,Not relevant,4,13-1161.00,Market Research Analysts and Marketing Specialists
627,0,Not relevant,4,11-2021.00,Marketing Managers
628,0,Not relevant,5,21-1013.00,Marriage and Family Therapists
629,0,Not relevant,4,17-2131.00,Materials Engineers
630,0,Not relevant,5,19-2032.00,Materials Scientists
631,0,Not relevant,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
632,0,Not relevant,5,15-2021.00,Mathematicians
633,0,Not relevant,3,17-3013.00,Mechanical Drafters
634,0,Not relevant,3,17-3027.00,Mechanical Engineering Technologists and Technicians
635,0,Not relevant,4,17-2141.00,Mechanical Engineers
636,0,Not relevant,4,17-2199.05,Mechatronics Engineers
637,0,Not relevant,4,27-2012.03,Media Programming Directors
638,0,Not relevant,4,27-2012.05,Media Technical Directors/Managers
639,0,Not relevant,3,29-2012.00,Medical and Clinical Laboratory Technicians
640,0,Not relevant,4,29-2011.00,Medical and Clinical Laboratory Technologists
641,0,Not relevant,4,11-9111.00,Medical and Health Services Managers
642,0,Not relevant,3,51-9082.00,Medical Appliance Technicians
643,0,Not relevant,3,31-9092.00,Medical Assistants
644,0,Not relevant,3,49-9062.00,Medical Equipment Repairers
645,0,Not relevant,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
646,0,Not relevant,2,43-6013.00,Medical Secretaries and Administrative Assistants
647,0,Not relevant,3,31-9094.00,Medical Transcriptionists
648,0,Not relevant,4,13-1121.00,"Meeting, Convention, and Event Planners"
649,0,Not relevant,5,21-1023.00,Mental Health and Substance Abuse Social Workers
650,0,Not relevant,5,21-1014.00,Mental Health Counselors
651,0,Not relevant,3,27-1026.00,Merchandise Displayers and Window Trimmers
652,0,Not relevant,2,43-5041.00,"Meter Readers, Utilities"
653,0,Not relevant,5,19-1022.00,Microbiologists
654,0,Not relevant,5,17-2199.06,Microsystems Engineers
655,0,Not relevant,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
656,0,Not relevant,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
657,0,Not relevant,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
658,0,Not relevant,3,51-7031.00,"Model Makers, Wood"
659,0,Not relevant,5,19-1029.02,Molecular and Cellular Biologists
660,0,Not relevant,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
661,0,Not relevant,2,39-3021.00,Motion Picture Projectionists
662,0,Not relevant,3,49-3051.00,Motorboat Mechanics and Service Technicians
663,0,Not relevant,2,53-5022.00,Motorboat Operators
664,0,Not relevant,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
665,0,Not relevant,4,25-4013.00,Museum Technicians and Conservators
666,0,Not relevant,4,29-1129.02,Music Therapists
667,0,Not relevant,5,17-2199.09,Nanosystems Engineers
668,0,Not relevant,5,11-9121.00,Natural Sciences Managers
669,0,Not relevant,5,29-1299.01,Naturopathic Physicians
670,0,Not relevant,4,15-1244.00,Network and Computer Systems Administrators
671,0,Not relevant,3,29-2099.01,Neurodiagnostic Technologists
672,0,Not relevant,5,29-1217.00,Neurologists
673,0,Not relevant,3,43-4141.00,New Accounts Clerks
674,0,Not relevant,4,27-3023.00,"News Analysts, Reporters, and Journalists"
675,0,Not relevant,2,17-3029.01,Non-Destructive Testing Specialists
676,0,Not relevant,4,17-2161.00,Nuclear Engineers
677,0,Not relevant,3,29-2033.00,Nuclear Medicine Technologists
678,0,Not relevant,3,19-4051.02,Nuclear Monitoring Technicians
679,0,Not relevant,3,51-8011.00,Nuclear Power Reactor Operators
680,0,Not relevant,3,19-4051.00,Nuclear Technicians
681,0,Not relevant,5,29-1151.00,Nurse Anesthetists
682,0,Not relevant,5,29-1161.00,Nurse Midwives
683,0,Not relevant,5,29-1171.00,Nurse Practitioners
684,0,Not relevant,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
685,0,Not relevant,5,29-1218.00,Obstetricians and Gynecologists
686,0,Not relevant,4,19-5011.00,Occupational Health and Safety Specialists
687,0,Not relevant,3,19-5012.00,Occupational Health and Safety Technicians
688,0,Not relevant,5,29-1122.00,Occupational Therapists
689,0,Not relevant,3,31-2011.00,Occupational Therapy Assistants
690,0,Not relevant,2,43-9061.00,"Office Clerks, General"
691,0,Not relevant,2,43-9071.00,"Office Machine Operators, Except Computer"
692,0,Not relevant,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
693,0,Not relevant,5,15-2031.00,Operations Research Analysts
694,0,Not relevant,2,51-9083.00,Ophthalmic Laboratory Technicians
695,0,Not relevant,3,29-2057.00,Ophthalmic Medical Technicians
696,0,Not relevant,3,29-2099.05,Ophthalmic Medical Technologists
697,0,Not relevant,5,29-1241.00,"Ophthalmologists, Except Pediatric"
698,0,Not relevant,3,29-2081.00,"Opticians, Dispensing"
699,0,Not relevant,5,29-1041.00,Optometrists
700,0,Not relevant,5,29-1022.00,Oral and Maxillofacial Surgeons
701,0,Not relevant,2,43-4151.00,Order Clerks
702,0,Not relevant,5,29-1023.00,Orthodontists
703,0,Not relevant,5,29-1299.02,Orthoptists
704,0,Not relevant,5,29-2091.00,Orthotists and Prosthetists
705,0,Not relevant,3,23-2011.00,Paralegals and Legal Assistants
706,0,Not relevant,4,19-1031.03,Park Naturalists
707,0,Not relevant,2,33-3041.00,Parking Enforcement Workers
708,0,Not relevant,2,41-2022.00,Parts Salespersons
709,0,Not relevant,2,53-6061.00,Passenger Attendants
710,0,Not relevant,3,29-2099.08,Patient Representatives
711,0,Not relevant,3,43-3051.00,Payroll and Timekeeping Clerks
712,0,Not relevant,5,29-1221.00,"Pediatricians, General"
713,0,Not relevant,2,31-1122.00,Personal Care Aides
714,0,Not relevant,4,13-2052.00,Personal Financial Advisors
715,0,Not relevant,4,17-2171.00,Petroleum Engineers
716,0,Not relevant,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
717,0,Not relevant,3,29-2052.00,Pharmacy Technicians
718,0,Not relevant,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
719,0,Not relevant,3,27-4021.00,Photographers
720,0,Not relevant,4,17-2199.07,Photonics Engineers
721,0,Not relevant,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
722,0,Not relevant,3,31-2021.00,Physical Therapist Assistants
723,0,Not relevant,5,29-1123.00,Physical Therapists
724,0,Not relevant,5,29-1071.00,Physician Assistants
725,0,Not relevant,5,29-1222.00,"Physicians, Pathologists"
726,0,Not relevant,5,19-2012.00,Physicists
727,0,Not relevant,5,25-1054.00,"Physics Teachers, Postsecondary"
728,0,Not relevant,5,29-1081.00,Podiatrists
729,0,Not relevant,4,27-3043.05,"Poets, Lyricists and Creative Writers"
730,0,Not relevant,3,33-3021.02,Police Identification and Records Officers
731,0,Not relevant,5,25-1065.00,"Political Science Teachers, Postsecondary"
732,0,Not relevant,5,19-3094.00,Political Scientists
733,0,Not relevant,2,43-5051.00,Postal Service Clerks
734,0,Not relevant,2,11-9131.00,Postmasters and Mail Superintendents
735,0,Not relevant,3,51-8012.00,Power Distributors and Dispatchers
736,0,Not relevant,3,19-4012.01,Precision Agriculture Technicians
737,0,Not relevant,3,51-5111.00,Prepress Technicians and Workers
738,0,Not relevant,3,25-2011.00,"Preschool Teachers, Except Special Education"
739,0,Not relevant,5,29-1229.05,Preventive Medicine Physicians
740,0,Not relevant,3,33-9021.00,Private Detectives and Investigators
741,0,Not relevant,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
742,0,Not relevant,2,43-3061.00,Procurement Clerks
743,0,Not relevant,4,27-2012.00,Producers and Directors
744,0,Not relevant,2,43-5061.00,"Production, Planning, and Expediting Clerks"
745,0,Not relevant,4,43-9081.00,Proofreaders and Copy Markers
746,0,Not relevant,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
747,0,Not relevant,5,29-1024.00,Prosthodontists
748,0,Not relevant,2,31-1133.00,Psychiatric Aides
749,0,Not relevant,3,29-2053.00,Psychiatric Technicians
750,0,Not relevant,5,29-1223.00,Psychiatrists
751,0,Not relevant,5,25-1066.00,"Psychology Teachers, Postsecondary"
752,0,Not relevant,4,27-3031.00,Public Relations Specialists
753,0,Not relevant,2,43-5031.00,Public Safety Telecommunicators
754,0,Not relevant,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
755,0,Not relevant,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
756,0,Not relevant,4,11-3061.00,Purchasing Managers
757,0,Not relevant,3,19-4099.01,Quality Control Analysts
758,0,Not relevant,4,11-3051.01,Quality Control Systems Managers
759,0,Not relevant,3,29-1124.00,Radiation Therapists
760,0,Not relevant,4,17-2072.01,Radio Frequency Identification Device Specialists
761,0,Not relevant,5,29-1224.00,Radiologists
762,0,Not relevant,2,53-4031.00,Railroad Conductors and Yardmasters
763,0,Not relevant,4,19-1031.02,Range Managers
764,0,Not relevant,4,41-9021.00,Real Estate Brokers
765,0,Not relevant,2,43-4171.00,Receptionists and Information Clerks
766,0,Not relevant,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
767,0,Not relevant,2,53-1042.01,Recycling Coordinators
768,0,Not relevant,2,53-7081.00,Refuse and Recyclable Material Collectors
769,0,Not relevant,4,11-9199.01,Regulatory Affairs Managers
770,0,Not relevant,4,13-1041.07,Regulatory Affairs Specialists
771,0,Not relevant,4,21-1015.00,Rehabilitation Counselors
772,0,Not relevant,4,19-2099.01,Remote Sensing Scientists and Technologists
773,0,Not relevant,4,19-4099.03,Remote Sensing Technicians
774,0,Not relevant,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
775,0,Not relevant,3,39-9041.00,Residential Advisors
776,0,Not relevant,3,29-1126.00,Respiratory Therapists
777,0,Not relevant,2,33-9099.02,Retail Loss Prevention Specialists
778,0,Not relevant,2,41-2031.00,Retail Salespersons
779,0,Not relevant,4,17-2199.08,Robotics Engineers
780,0,Not relevant,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
781,0,Not relevant,4,41-9031.00,Sales Engineers
782,0,Not relevant,4,11-2022.00,Sales Managers
783,0,Not relevant,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
784,0,Not relevant,5,19-3034.00,School Psychologists
785,0,Not relevant,4,13-1161.01,Search Marketing Strategists
786,0,Not relevant,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
787,0,Not relevant,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
788,0,Not relevant,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
789,0,Not relevant,2,33-9032.00,Security Guards
790,0,Not relevant,2,47-4091.00,Segmental Pavers
791,0,Not relevant,3,25-3021.00,Self-Enrichment Teachers
792,0,Not relevant,2,51-9141.00,Semiconductor Processing Technicians
793,0,Not relevant,2,47-5013.00,"Service Unit Operators, Oil and Gas"
794,0,Not relevant,5,27-1027.00,Set and Exhibit Designers
795,0,Not relevant,2,51-6042.00,Shoe Machine Operators and Tenders
796,0,Not relevant,3,49-9097.00,Signal and Track Switch Repairers
797,0,Not relevant,3,39-5094.00,Skincare Specialists
798,0,Not relevant,4,11-9151.00,Social and Community Service Managers
799,0,Not relevant,4,21-1093.00,Social and Human Service Assistants
800,0,Not relevant,4,19-4061.00,Social Science Research Assistants
801,0,Not relevant,5,25-1113.00,"Social Work Teachers, Postsecondary"
802,0,Not relevant,5,19-3041.00,Sociologists
803,0,Not relevant,5,25-1067.00,"Sociology Teachers, Postsecondary"
804,0,Not relevant,4,15-1253.00,Software Quality Assurance Analysts and Testers
805,0,Not relevant,4,17-2199.11,Solar Energy Systems Engineers
806,0,Not relevant,3,27-4014.00,Sound Engineering Technicians
807,0,Not relevant,3,11-9179.02,Spa Managers
808,0,Not relevant,4,25-2057.00,"Special Education Teachers, Middle School"
809,0,Not relevant,4,25-2058.00,"Special Education Teachers, Secondary School"
810,0,Not relevant,4,27-1014.00,Special Effects Artists and Animators
811,0,Not relevant,5,29-1127.00,Speech-Language Pathologists
812,0,Not relevant,3,31-9099.01,Speech-Language Pathology Assistants
813,0,Not relevant,5,29-1229.06,Sports Medicine Physicians
814,0,Not relevant,3,51-8021.00,Stationary Engineers and Boiler Operators
815,0,Not relevant,4,43-9111.00,Statistical Assistants
816,0,Not relevant,5,15-2041.00,Statisticians
817,0,Not relevant,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
818,0,Not relevant,2,53-4041.00,Subway and Streetcar Operators
819,0,Not relevant,4,11-3071.04,Supply Chain Managers
820,0,Not relevant,3,29-2055.00,Surgical Technologists
821,0,Not relevant,5,19-3022.00,Survey Researchers
822,0,Not relevant,3,17-3031.00,Surveying and Mapping Technicians
823,0,Not relevant,4,17-1022.00,Surveyors
824,0,Not relevant,4,13-1199.05,Sustainability Specialists
825,0,Not relevant,2,43-2011.00,"Switchboard Operators, Including Answering Service"
826,0,Not relevant,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
827,0,Not relevant,4,27-2012.04,Talent Directors
828,0,Not relevant,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
829,0,Not relevant,3,13-2082.00,Tax Preparers
830,0,Not relevant,5,25-9044.00,"Teaching Assistants, Postsecondary"
831,0,Not relevant,2,51-2092.00,Team Assemblers
832,0,Not relevant,4,27-3042.00,Technical Writers
