,Importance,Level,Job Zone,Code,Occupation
51,16,11,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
52,16,11,2,47-2132.00,"Insulation Workers, Mechanical"
53,16,11,3,31-1131.00,Nursing Assistants
54,16,11,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
55,16,11,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
56,16,11,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
57,16,11,2,53-7073.00,Wellhead Pumpers
58,16,11,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
59,16,9,2,53-7061.00,Cleaners of Vehicles and Equipment
60,16,9,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
61,16,9,4,29-1128.00,Exercise Physiologists
62,16,9,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
63,16,9,3,51-4041.00,Machinists
64,16,9,1,37-2012.00,Maids and Housekeeping Cleaners
65,16,9,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
66,16,Not relevant,2,49-9095.00,Manufactured Building and Mobile Home Installers
67,13,14,2,51-5113.00,Print Binding and Finishing Workers
68,13,13,3,49-9092.00,Commercial Divers
69,13,12,1,45-3031.00,Fishing and Hunting Workers
70,13,11,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
71,13,11,2,47-2041.00,Carpet Installers
72,13,11,2,47-5041.00,Continuous Mining Machine Operators
73,13,11,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
74,13,11,4,27-2042.00,Musicians and Singers
75,13,11,2,31-1132.00,Orderlies
76,13,11,3,33-3051.00,Police and Sheriff's Patrol Officers
77,13,11,2,47-2211.00,Sheet Metal Workers
78,13,9,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
79,13,9,2,47-2081.00,Drywall and Ceiling Tile Installers
80,13,9,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
81,13,9,2,47-4031.00,Fence Erectors
82,13,9,2,41-9012.00,Models
83,13,9,2,43-5052.00,Postal Service Mail Carriers
84,13,9,1,47-5071.00,"Roustabouts, Oil and Gas"
85,13,9,2,51-3023.00,Slaughterers and Meat Packers
86,13,9,3,51-2041.00,Structural Metal Fabricators and Fitters
87,13,9,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
88,13,7,2,51-3011.00,Bakers
89,13,7,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
90,13,7,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
91,13,7,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
92,13,7,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
93,13,7,1,47-2043.00,Floor Sanders and Finishers
94,13,7,3,19-4071.00,Forest and Conservation Technicians
95,13,7,2,47-5081.00,Helpers--Extraction Workers
96,13,7,3,49-9041.00,Industrial Machinery Mechanics
97,13,7,2,53-7064.00,"Packers and Packagers, Hand"
98,13,7,3,51-4111.00,Tool and Die Makers
99,13,Not relevant,2,51-8099.01,Biofuels Processing Technicians
100,13,Not relevant,1,47-2161.00,Plasterers and Stucco Masons
101,10,9,3,47-2011.00,Boilermakers
102,10,9,3,33-3021.00,Detectives and Criminal Investigators
103,10,9,3,51-8013.04,Hydroelectric Plant Technicians
104,10,9,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
105,10,9,3,47-2152.04,Solar Thermal Installers and Technicians
106,10,7,2,51-3021.00,Butchers and Meat Cutters
107,10,7,2,35-2012.00,"Cooks, Institution and Cafeteria"
108,10,7,3,33-1011.00,First-Line Supervisors of Correctional Officers
109,10,7,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
110,10,7,2,49-9099.01,Geothermal Technicians
111,10,7,1,45-2041.00,"Graders and Sorters, Agricultural Products"
112,10,7,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
113,10,7,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
114,10,7,2,51-4192.00,"Layout Workers, Metal and Plastic"
115,10,7,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
116,10,7,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
117,10,7,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
118,10,7,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
119,10,7,4,29-1125.00,Recreational Therapists
120,10,7,2,49-3092.00,Recreational Vehicle Service Technicians
